rel_entidade;tipo;natureza;identificacao;descricao;data_aquisicao;rel_orgao;situacao;valor_atual;tipo_aquisicao
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10231; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10232; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10233; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10234; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10235; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10236; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10237; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10238; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10239; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10240; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10241; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10242; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10243; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CADEIRA;10244; CADEIRA DIRET. FIXA TRAPEZIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 490,00; Compra Normal
