rel_entidade;nome_do_programa;funcao;descricao_programa;c�digo_da_despesa;valor_or�ado_despesa;valor_atualizado_despesa;empenhado_atualizado_da_despesa;liquido_atualizado_da_despesa;valor_pago_atualizado_despesa
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Apoio a Criança e ao Adolescente em Situação de Risco;92;R$ 180.000,00;R$ 148.000,00;R$ 145.599,10;R$ 145.599,10;R$ 131.799,35
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Apoio a Criança e ao Adolescente em Situação de Risco;93;R$ 2.000,00;R$ 2.500,00;R$ 2.189,50;R$ 2.189,50;R$ 2.189,50
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Apoio a Criança e ao Adolescente em Situação de Risco;94;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Apoio ao Portador de Necessidades Especiais;95;R$ 66.000,00;R$ 66.000,00;R$ 66.000,00;R$ 66.000,00;R$ 60.500,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Erradicação do Trabalho Infantil;96;R$ 196.500,00;R$ 196.500,00;R$ 196.272,82;R$ 196.272,82;R$ 192.609,39
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Erradicação do Trabalho Infantil;97;R$ 38.000,00;R$ 39.000,00;R$ 33.738,41;R$ 33.738,41;R$ 32.903,81
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Atenção a Criança e ao Adolescente; Assistência Social; Erradicação do Trabalho Infantil;98;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Construção Centro de Convivência p/Melhor Idade;99;R$ 300.000,00;R$ 300.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Construção Centro de Convivência p/Melhor Idade;100;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Superior; Administração; Manutenção do Gabinete do Prefeito;1;R$ 385.960,00;R$ 443.810,00;R$ 443.609,32;R$ 443.609,32;R$ 439.403,11
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Superior; Administração; Manutenção do Gabinete do Prefeito;2;R$ 60.000,00;R$ 60.000,00;R$ 57.056,34;R$ 57.056,34;R$ 55.825,87
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Superior; Administração; Manutenção do Gabinete do Prefeito;3;R$ 2.000,00;R$ 2.000,00;R$ 1.929,00;R$ 1.929,00;R$ 1.929,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;4;R$ 980.000,00;R$ 980.000,00;R$ 979.011,26;R$ 979.011,26;R$ 966.936,11
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;5;R$ 54.000,00;R$ 60.074,81;R$ 60.074,81;R$ 60.074,81;R$ 60.074,81
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;6;R$ 740.610,00;R$ 850.737,67;R$ 848.085,89;R$ 844.965,89;R$ 820.417,18
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Geral; Administração; Manutenção da Secretaria de Administração e Finanças;7;R$ 19.000,00;R$ 14.400,00;R$ 14.366,50;R$ 14.366,50;R$ 14.366,50
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Segurança ao Alcance de Todos; Segurança Pública; Convênio Manutenção Rádio Patrulha;8;R$ 22.000,00;R$ 22.000,00;R$ 21.457,94;R$ 21.457,94;R$ 21.457,94
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Segurança ao Alcance de Todos; Segurança Pública; Mantenção Corpo de Bombeiros;9;R$ 1.000,00;R$ 32.900,00;R$ 31.022,79;R$ 31.022,79;R$ 29.602,79
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Segurança ao Alcance de Todos; Segurança Pública; Mantenção Corpo de Bombeiros;10;R$ 29.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Operações Especiais; Encargos Especiais; Amortização da Dívida Interna;11;R$ 2.000,00;R$ 2.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Operações Especiais; Encargos Especiais; Amortização da Dívida Interna;12;R$ 240.000,00;R$ 240.000,00;R$ 129.474,38;R$ 129.474,38;R$ 129.474,38
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Operações Especiais; Encargos Especiais; Encargos Gerais da Prefeitura;13;R$ 5.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Operações Especiais; Encargos Especiais; Encargos Gerais da Prefeitura;14;R$ 190.000,00;R$ 336.075,18;R$ 335.960,58;R$ 335.960,58;R$ 335.935,58
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Operações Especiais; Encargos Especiais; Encargos Gerais da Prefeitura;15;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;16;R$ 526.000,00;R$ 517.000,00;R$ 516.146,95;R$ 516.146,95;R$ 484.610,23
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;17;R$ 40.000,00;R$ 70.500,00;R$ 70.495,78;R$ 62.645,78;R$ 57.702,98
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;18;R$ 3.000,00;R$ 3.000,00;R$ 2.820,00;R$ 2.820,00;R$ 2.820,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Administração Financeira; Administração; Manutenção da Secretaria de Arrecadação Municipal;19;R$ 3.000,00;R$ 1.500,00;R$ 1.459,00;R$ 1.459,00;R$ 1.459,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Planejamento Urbano e Rodoviário; Administração; Manutenção da Secretaria de Obras e Serviços Urbanos;20;R$ 110.000,00;R$ 110.000,00;R$ 109.920,32;R$ 109.920,32;R$ 109.920,32
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Planejamento Urbano e Rodoviário; Administração; Manutenção da Secretaria de Obras e Serviços Urbanos;21;R$ 35.000,00;R$ 37.000,00;R$ 36.871,71;R$ 36.871,71;R$ 36.438,20
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Planejamento Urbano e Rodoviário; Administração; Manutenção da Secretaria de Obras e Serviços Urbanos;22;R$ 2.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
