data;numero_empenho;rel_orgao;detalhamento_do_elemento;descricao;valor_empenhado;valor_liquido;valor_pago
 31/01/2025;486; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 159.001,21;R$ 159.001,21;R$ 159.001,21
 31/01/2025;497; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 5.281,01;R$ 5.281,01;R$ 5.281,01
 31/01/2025;496; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 4.173,79;R$ 4.173,79;R$ 4.173,79
 31/01/2025;491; SECRETARIA DE EDUCAÇÃO; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 7.926,55;R$ 7.926,55;R$ 7.926,55
 31/01/2025;489; SECRETARIA DE EDUCAÇÃO; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 3.622,86;R$ 3.622,86;R$ 3.622,86
 31/01/2025;488; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 650.047,13;R$ 650.047,13;R$ 650.047,13
 31/01/2025;487; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 202.183,70;R$ 202.183,70;R$ 202.183,70
 31/01/2025;451; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 247,07;R$ 247,07;R$ 247,07
 31/01/2025;452; SECRETARIA DE INDÚSTRIA E COMÉRCIO E SEG. PÚBLICA; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 9.635,88;R$ 9.635,88;R$ 9.635,88
 31/01/2025;500; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 3.119,87;R$ 3.119,87;R$ 3.119,87
 31/01/2025;501; SECRETARIA DE ARRECADAÇÃO MUNICIPAL; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 988,29;R$ 988,29;R$ 988,29
 31/01/2025;502; GABINETE DO PREFEITO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 2.223,66;R$ 2.223,66;R$ 2.223,66
 31/01/2025;503; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 1/2025;R$ 5.091,52;R$ 5.091,52;R$ 5.091,52
 31/01/2025;443; GABINETE DO PREFEITO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 1/2025;R$ 370,61;R$ 370,61;R$ 370,61
